color,num_critic_for_reviews,duration,director_facebook_likes,gross,num_voted_users,cast_total_facebook_likes,facenumber_in_poster,num_user_for_reviews,language,country,content_rating,budget,title_year,imdb_score,aspect_ratio,movie_facebook_likes
Color,35,91,32,130512915,60884,3244,2,85,English,USA,PG,45000000,1994,4.8,1.33,0
Color,228,86,17,17683670,47227,1520,0,323,English,USA,PG-13,5000000,2011,5.2,1.33,0
Color,149,91,17,41867960,65512,3023,0,478,English,USA,R,20000000,2001,5.5,1.33,0
 Black and White,360,81,19,140530114,186786,399,0,3400,English,USA,R,60000,1999,6.4,1.33,0
Color,124,90,63,217350219,260939,52970,0,244,English,USA,G,28000000,1992,8,1.33,0
Color,141,145,80,117235247,375240,16094,0,542,English,USA,PG,960000,1976,8.1,1.33,0
Color,53,170,23,7830611,18980,15,0,74,English,USA,PG-13,700000,1994,8.3,1.33,0
Color,11,105,6,8508843,7470,2368,1,35,English,USA,PG,18000000,1989,5.5,1.37,0
Color,106,83,8,46729374,116625,6454,2,469,English,USA,PG-13,13000000,2000,5.5,1.37,0
Color,147,93,37,40846082,45317,2872,0,536,English,USA,R,19000000,1999,5.6,1.37,0
Color,116,103,84,37035515,34597,23864,1,194,English,USA,PG-13,43000000,2000,6,1.37,0
Color,73,108,0,180483,16792,760,2,183,English,USA,NC-17,10000,1972,6.1,1.37,0
Color,119,103,81,30669413,105478,4722,0,291,English,USA,R,35000000,1990,6.2,1.37,0
Color,140,85,0,66365290,56874,22458,2,358,English,USA,PG-13,55000000,1999,6.4,1.37,0
Color,149,127,278,182805123,158864,5838,1,395,English,USA,PG-13,70000000,2000,6.4,1.37,0
Color,120,101,343,38122105,112669,2373,1,226,English,USA,R,27000000,1987,6.6,1.37,0
Color,56,81,0,2040920,52055,147,0,130,Spanish,USA,R,7000,1992,6.9,1.37,0
Color,75,149,15000,25809813,50311,28713,6,212,English,USA,PG,26000000,1996,6.9,1.37,0
Color,79,95,13,34099640,16651,2515,0,149,English,USA,PG,5000000,2000,7,1.37,0
Color,111,118,0,87666629,283480,3986,0,263,English,USA,PG,40000000,1990,7.4,1.37,0
Color,105,88,3,84300000,90360,1178,0,147,English,USA,Approved,2600000,1940,7.5,1.37,0
Color,145,83,0,184925485,133348,229,1,204,English,USA,Approved,2000000,1937,7.7,1.37,0
 Black and White,90,92,0,7927,19236,1055,1,175,English,USA,Not Rated,2300000,1947,7.7,1.37,0
 Black and White,136,102,0,3151130,181749,2103,4,615,English,USA,R,230000,1994,7.8,1.37,0
 Black and White,97,172,355,23650000,40359,1941,5,235,English,USA,Not Rated,2100000,1946,8.1,1.37,0
Color,154,93,11000,39200000,192940,12691,0,491,English,USA,PG,4000000,1977,8.1,1.37,0
 Black and White,120,87,0,163245,143086,352,1,211,English,USA,G,1500000,1936,8.6,1.37,0
Color,127,95,63,38120554,71527,26940,0,217,English,USA,PG,140000000,2002,7.1,1.5,0
Color,159,92,0,2926565,28573,3608,0,72,English,USA,R,3000000,2008,6.5,1.66,0
Color,23,106,23,532190,5673,1610,2,37,English,USA,PG-13,8000000,1997,6.8,1.66,0
 Black and White,84,98,21,406035,30314,33441,0,159,English,USA,R,1500000,2001,7.2,1.66,0
Color,180,85,255,145771527,117212,3112,0,367,English,USA,PG,80000000,2002,7.2,1.66,0
Color,141,78,10,89296573,128285,2039,1,297,English,USA,G,100000000,2000,7.3,1.66,0
Color,123,111,81,31968347,93894,14823,0,286,English,USA,R,3600000,1995,7.6,1.66,0
Color,145,139,55,102300000,107408,2045,2,259,English,USA,Approved,6000000,1964,7.8,1.66,0
Color,87,92,2,1677838,11283,1447,0,155,English,USA,PG,1000000,2006,7.7,1.75,0
Color,46,88,30,90443603,112167,15001,1,123,English,USA,PG,80000000,1996,6.3,1.77,0
Color,54,92,143,2964,7444,3086,2,42,English,USA,PG-13,16000000,2012,5.1,1.78,0
Color,82,93,78,200803,7988,1467,3,71,English,USA,R,3000000,2012,5.3,1.78,0
Color,97,104,38,3447339,29517,2667,7,79,English,USA,R,1500000,2013,5.8,1.78,0
Color,19,110,13,2848578,3942,1567,0,65,English,USA,PG,3500000,2010,6.3,1.78,0
Color,178,102,0,55845943,130094,46186,1,471,English,USA,R,29000000,2003,6.4,1.78,0
Color,160,101,263,1984378,27346,226,3,206,English,USA,Unrated,2000000,2006,6.5,1.78,0
Color,92,84,12,141600000,119675,26754,1,216,English,USA,G,55000000,1995,6.6,1.78,0
Color,284,142,0,310675583,464310,42990,3,3516,English,USA,PG,115000000,2002,6.7,1.78,0
Color,80,91,21,100117603,102933,4842,0,230,English,USA,G,100000000,1996,6.9,1.78,0
Color,170,93,83,27829874,196422,28767,1,444,English,USA,R,12000000,2006,7,1.78,0
Color,63,104,835,6401336,36996,19923,2,153,English,USA,R,2500000,1991,7.1,1.78,0
Color,28,80,0,99851,1138,210,0,30,English,USA,R,2500000,2010,7.1,1.78,0
Color,156,101,79,117224271,47794,1787,1,81,English,USA,R,20000000,2010,7.1,1.78,0
Color,193,100,293,11529368,85028,0,2,404,English,USA,PG,65000,2004,7.3,1.78,0
Color,136,111,197,71844424,33158,679,0,223,English,USA,PG,60000000,2009,7.3,1.78,0
Color,111,88,82,14174654,74945,2857,0,359,English,USA,PG-13,25000000,2008,1.9,1.85,0
Color,60,90,7,4922166,23606,1445,2,304,English,USA,PG,12000000,2003,2.1,1.85,0
Color,112,93,82,39737645,89687,4293,11,666,English,USA,PG-13,20000000,2007,2.3,1.85,0
Color,45,97,84,27141959,19547,2936,2,168,English,USA,PG,18000000,1999,2.5,1.85,0
Color,111,86,82,38232624,88518,3854,0,409,English,USA,PG-13,30000000,2008,2.7,1.85,0
